YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-10,WEEKDAY,6,TRAIN,TE25,1866,497
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,TE29,461,1394
2025-10,WEEKDAY,8,TRAIN,CC6,4937,12628
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,DT28,5296,2389
2025-10,WEEKDAY,8,TRAIN,DT25,13553,12290
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,CG1/DT35,8836,8340
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,TE26,3634,2675
2025-10,WEEKDAY,13,TRAIN,NE15,23663,22170
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,EW6,6638,3606
2025-10,WEEKDAY,21,TRAIN,NS18,6520,23772
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,NS5,15234,6956
2025-10,WEEKDAY,0,TRAIN,NE18,1,718
2025-10,WEEKDAY,12,TRAIN,NS27/CE2/TE20,7030,5886
2025-10,WEEKENDS/HOLIDAY,20,TRAIN,DT3,1199,3391
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,NS18,1661,8108
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,NE9,13568,8369
2025-10,WEEKDAY,16,TRAIN,TE1,20379,3230
2025-10,WEEKDAY,6,TRAIN,DT10,3576,3668
2025-10,WEEKDAY,17,TRAIN,BP13,1473,1934
2025-10,WEEKDAY,22,TRAIN,CC5,9530,3274
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,DT31,3734,3484
2025-10,WEEKDAY,9,TRAIN,DT23,5081,18930
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,NE4/DT19,20575,40359
2025-10,WEEKDAY,17,TRAIN,NS13,67764,118005
2025-10,WEEKDAY,19,TRAIN,PW6,1108,3755
2025-10,WEEKDAY,23,TRAIN,TE18,6577,1407
2025-10,WEEKDAY,8,TRAIN,EW11,28020,47378
2025-10,WEEKDAY,10,TRAIN,SW1,2979,3620
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,SE4,1853,1601
2025-10,WEEKDAY,13,TRAIN,NS11,34724,32562
2025-10,WEEKDAY,8,TRAIN,EW33,10915,14024
2025-10,WEEKDAY,7,TRAIN,CC12,20238,22102
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,DT18,643,2688
2025-10,WEEKDAY,23,TRAIN,TE27,453,3522
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,EW28,17069,7282
2025-10,WEEKDAY,13,TRAIN,NE18,15841,22425
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,EW26,13193,21295
2025-10,WEEKDAY,0,TRAIN,NS27/CE2/TE20,69,246
